Location,Slug,Street Address,City,State,Zip Code,Assigned Store,Order Count,First Order Date,Last Order Date,Days Since Last Order,Median Reorder Gap (days),Avg Food Total,Total Food Spend,Primary Source,Segment
Legal Concierge,legal-concierge,7700 Bonhomme Ave Suite 300,Clayton,MO,63105.0,Forsyth/Clayton,1,2025-06-10,2025-06-10,412,,383.65,383.65,Marketplace Delivery,cold
Less Annoying CRM,less-annoying-crm,1017 Olive St Suite 300 (3rd floor),St. Louis,MO,63101.0,Lindell/SLU,1,2025-01-15,2025-01-15,558,,226.4,226.4,Marketplace Takeout,cold
Lift for Life Academy,lift-for-life-academy,1709 S Broadway,St. Louis,MO,63104.0,Lindell/SLU,1,2025-07-22,2025-07-22,370,,111.54,111.54,Marketplace Takeout,cold
METRO EAST DERMATOLOGY,metro-east-dermatology,331 Regency Park,O'Fallon,IL,62269.0,Shiloh,1,2025-04-07,2025-04-07,476,,415.7,415.7,ezOrdering Takeout,cold
MG+M The Law Firm,mg+m-the-law-firm,1405 N Green Mt Rd 400,O'Fallon,IL,62269.0,Shiloh,1,2025-05-27,2025-05-27,426,,500.7,500.7,Marketplace Takeout,cold
MLB Network Apple TV - St. Louis,mlb-network-apple-tv---st-louis,700 Clark Ave,St. Louis,MO,63102.0,Lindell/SLU,1,2025-05-22,2025-05-22,431,,315.0,315.0,Marketplace Takeout,cold
MU Extension Center on the UMSL Campus (Regional Center for Education and Work),mu-extension-center-on-the-umsl-campus-(regional-center-for-education-and-work),8225 Florissant Rd,St. Louis,MO,63121.0,Forsyth/Clayton,1,2025-10-14,2025-10-14,286,,394.05,394.05,Marketplace Takeout,cold
Mackey Mitchell Architects,mackey-mitchell-architects,900 Spruce St. #500,St. Louis,MO,63102.0,Lindell/SLU,1,2025-04-29,2025-04-29,454,,215.73,215.73,Marketplace Takeout,cold
Martone Legal LLC,martone-legal-llc,600 Emerson Rd 205,Creve Coeur,MO,63141.0,West Oak,1,2025-12-08,2025-12-08,231,,305.25,305.25,Marketplace Takeout,cold
Maryville Women's Center,maryville-womens-center,2016 Vadalabene Dr,Maryville,IL,62062.0,Edwardsville,1,2025-02-12,2025-02-12,530,,398.0,398.0,Marketplace Takeout,cold
Medical Specialists of St. Lukes,medical-specialists-of-st-lukes,222 S Woods Mill Rd 750 North,Chesterfield,MO,63017.0,Creve Coeur,1,2025-01-08,2025-01-08,565,,378.65,378.65,Marketplace Takeout,cold
Medical specialists of st. Lukes,medical-specialists-of-st-lukes,222 S Woods Mill Rd 750 North Building,Chesterfield,MO,63017.0,Creve Coeur,1,2025-05-13,2025-05-13,440,,379.5,379.5,Marketplace Takeout,cold
Memorial Hospital,memorial-hospital,4600 Memorial Dr Building 2 Suite W1,Belleville,IL,62226.0,Shiloh,1,2025-02-18,2025-02-18,524,,260.24,260.24,Marketplace Takeout,cold
Memorial Hospital Belleville,memorial-hospital-belleville,4500 Memorial Dr Main Entrance -Boardroom,Belleville,IL,62226.0,Shiloh,1,2025-02-24,2025-02-24,518,,292.2,292.2,Marketplace Takeout,cold
Meramac Dermatology,meramac-dermatology,3783 Vogel Rd,Arnold,MO,63010.0,Tesson,1,2025-05-28,2025-05-28,425,,619.4,619.4,Marketplace Takeout,cold
Meramec dermatology,meramec-dermatology,3783 Vogel Rd,Arnold,MO,63010.0,Tesson,1,2025-11-25,2025-11-25,244,,349.9,349.9,Marketplace Takeout,cold
Mercy Cancer Center Radiation Oncology,mercy-cancer-center-radiation-oncology,10050 Kennerly Rd 1st floor,Sappington,MO,63128.0,Tesson,1,2025-11-18,2025-11-18,251,,258.2,258.2,Marketplace Takeout,cold
Mercy Clinic Oncology and hematology,mercy-clinic-oncology-and-hematology,2227 Vadalabene Dr 200,Maryville,IL,62062.0,Edwardsville,1,2025-03-19,2025-03-19,495,,323.65,323.65,Marketplace Takeout,cold
Mercy Clinic Primary Care - Des Peres - Dr. Hilgeman,mercy-clinic-primary-care---des-peres---dr-hilgeman,1000 Des Peres Rd Suite 310,Des Peres,MO,63131.0,Manchester,1,2025-09-15,2025-09-15,315,,341.0,341.0,Marketplace Takeout,cold
Mercy Clinic Primary Care - Suite 214,mercy-clinic-primary-care---suite-214,300 Winding Woods Dr Suite 214,O'Fallon,MO,63366.0,O'Fallon,1,2025-04-28,2025-04-28,455,,356.5,356.5,Marketplace Takeout,cold
Mercy Clinic Primary Care – Jungermann,mercy-clinic-primary-care-–-jungermann,1325 Queens Ct,St. Peters,MO,63376.0,Lindenwood,1,2025-04-21,2025-04-21,462,,165.58,165.58,Marketplace Takeout,cold
Mercy Creve Coeur,mercy-creve-coeur,12855 N Forty Dr Suite 280,St. Louis,MO,63141.0,Manchester,1,2025-01-28,2025-01-28,545,,387.98,387.98,Marketplace Takeout,cold
Mercy Hospital South,mercy-hospital-south,10010 Kennerly Rd John Pruellege Heart Hospital entrance,St. Louis,MO,63128.0,Tesson,1,2025-12-26,2025-12-26,213,,620.5,620.5,Marketplace Takeout,cold
Mercy Hyperbaric and wound care,mercy-hyperbaric-and-wound-care,12700 Southfork Rd 175,St. Louis,MO,63128.0,Tesson,1,2025-05-01,2025-05-01,452,,238.45,238.45,Marketplace Takeout,cold
Mercy IM,mercy-im,12680 Olive Blvd Ste 100,St. Louis,MO,63141.0,Creve Coeur,1,2025-03-21,2025-03-21,493,,378.0,378.0,Marketplace Takeout,cold
Mercy Sindelar Cancer Center,mercy-sindelar-cancer-center,10050 Kennerly Rd Oncology cancer center,Sappington,MO,63128.0,Tesson,1,2025-06-02,2025-06-02,420,,653.14,653.14,Marketplace Takeout,cold
Mercy South,mercy-south,10004 Kennerly Rd 374B,St. Louis,MO,63128.0,Tesson,1,2025-10-23,2025-10-23,277,,117.6,117.6,Marketplace Takeout,cold
Mercy South Gastroenterology,mercy-south-gastroenterology,10012 Kennerly Rd Suite 102,St. Louis,MO,63128.0,Tesson,1,2025-05-19,2025-05-19,434,,376.08,376.08,Marketplace Takeout,cold
Mercy Sunset OBGYN,mercy-sunset-obgyn,10777 Sunset Office Dr Suite 200,St. Louis,MO,63127.0,Sunset Hills,1,2025-01-21,2025-01-21,552,,391.28,391.28,Marketplace Takeout,cold
Mercy Urology,mercy-urology,12700 Southfork Rd Suite 260 Suite 260,St. Louis,MO,63128.0,Tesson,1,2025-06-03,2025-06-03,419,,484.72,484.72,Marketplace Takeout,cold
"Mercy clinic , Dr. Moore , Dr Doerr",mercy-clinic--dr-moore--dr-doerr,12348 Old Tesson Rd Suite 240,St. Louis,MO,63128.0,Tesson,1,2025-03-11,2025-03-11,503,,139.0,139.0,Marketplace Takeout,cold
Mercy south wound care center,mercy-south-wound-care-center,12700 Southfork Rd 175,St. Louis,MO,63128.0,Tesson,1,2025-04-01,2025-04-01,482,,190.45,190.45,Marketplace Takeout,cold
Microsoft,microsoft,4220 Duncan Ave Suite 501,St. Louis,MO,63110.0,Lindell/SLU,1,2025-01-31,2025-01-31,542,,81.6,81.6,Marketplace Takeout,cold
Microsoft Cortex,microsoft-cortex,4220 Duncan Ave Suite 501,St. Louis,MO,63110.0,Lindell/SLU,1,2025-04-16,2025-04-16,467,,152.83,152.83,Marketplace Takeout,cold
Midwest Chest,midwest-chest,330 1st Capitol Dr 470,Saint Charles,MO,63301.0,Lindenwood,1,2025-05-09,2025-05-09,444,,349.0,349.0,Marketplace Takeout,cold
Midwest Sleep Sinus and Allergy,midwest-sleep-sinus-and-allergy,1179 Fortune Blvd,Shiloh,IL,62269.0,Shiloh,1,2025-06-24,2025-06-24,398,,286.98,286.98,Marketplace Takeout,cold
MilliporeSigma - Dekalb,milliporesigma---dekalb,3500 Dekalb St,St. Louis,MO,63118.0,Lindell/SLU,1,2025-08-20,2025-08-20,341,,133.15,133.15,Marketplace Takeout,cold
MilliporeSigma - Ewing,milliporesigma---ewing,545 S Ewing Ave 1st Floor,St. Louis,MO,63103.0,Lindell/SLU,1,2025-02-20,2025-02-20,522,,110.35,110.35,Marketplace Takeout,cold
MilliporeSigma _ Broadway,milliporesigma-_-broadway,3506 S Broadway,St. Louis,MO,63118.0,Lindell/SLU,1,2025-06-26,2025-06-26,396,,76.0,76.0,Marketplace Takeout,cold
Missouri Baptist Cancer Center,missouri-baptist-cancer-center,3015 N Ballas Rd,St. Louis,MO,63131.0,West Oak,1,2025-03-12,2025-03-12,502,,339.93,339.93,Marketplace Takeout,cold
Missouri Baptist Medical Center,missouri-baptist-medical-center,3015 N Ballas Rd Lean Briefing Room,St. Louis,MO,63131.0,West Oak,1,2025-03-14,2025-03-14,500,,360.75,360.75,Marketplace Takeout,cold
Missouri Baptist medical center,missouri-baptist-medical-center,3015 N Ballas Rd Auditorium 3,St. Louis,MO,63131.0,West Oak,1,2025-10-16,2025-10-16,284,,373.35,373.35,Marketplace Takeout,cold
Missouri Baptist neurology,missouri-baptist-neurology,3009 N Ballas Rd 102b,St. Louis,MO,63131.0,West Oak,1,2025-02-26,2025-02-26,516,,377.0,377.0,Marketplace Takeout,cold
Missouri Veterinary Dermatology Center,missouri-veterinary-dermatology-center,1092 Wentzville Pkwy,Wentzville,MO,63385.0,Wentzville,1,2025-12-18,2025-12-18,221,,288.55,288.55,Marketplace Takeout,cold
Mitek,mitek,1250 Interstate Dr,Wentzville,MO,63385.0,Wentzville,1,2025-10-24,2025-10-24,276,,379.8,379.8,Marketplace Takeout,cold
NESTLE PURINA PETCARE CO.,nestle-purina-petcare-co,801 CHOUTEAU AVE. A BLDG.,St. Louis,MO,63102.0,Lindell/SLU,1,2025-10-01,2025-10-01,299,,259.4,259.4,Marketplace Takeout,cold
Nestle IT,nestle-it,800 Chouteau Ave Building E,St. Louis,MO,63102.0,Lindell/SLU,1,2025-06-09,2025-06-09,413,,151.05,151.05,Marketplace Takeout,cold
Nestle Purina Petcare Company,nestle-purina-petcare-company,901 Chouteau Ave Main Tower Building - T,St. Louis,MO,63102.0,Lindell/SLU,1,2025-06-02,2025-06-02,420,,116.5,116.5,Marketplace Takeout,cold
Neurology Associates,neurology-associates,3009 N Ballas Rd Ste 102B,St. Louis,MO,63131.0,West Oak,1,2025-02-13,2025-02-13,529,,316.2,316.2,Marketplace Takeout,cold
Nicki Powell,nicki-powell,7980 Clayton Rd,Richmond Heights,MO,63117.0,Forsyth/Clayton,1,2025-10-22,2025-10-22,278,,357.5,357.5,Marketplace Takeout,cold
North Kirkwood Middle School,north-kirkwood-middle-school,11287 Manchester Rd Main Office,Kirkwood,MO,63122.0,Sunset Hills,1,2025-10-06,2025-10-06,294,,113.7,113.7,Marketplace Takeout,cold
Oakville Dental Care,oakville-dental-care,6076 Telegraph Rd,St. Louis,MO,63129.0,Tesson,1,2025-12-03,2025-12-03,236,,297.5,297.5,Marketplace Takeout,cold
Obgyn office/Dr. Frank Patrick,obgyn-office-dr-frank-patrick,10004 Kennerly Rd 230A,St. Louis,MO,63128.0,Tesson,1,2025-02-03,2025-02-03,539,,450.98,450.98,Marketplace Takeout,cold
Octarine,octarine,6880 Washington Ave,St. Louis,MO,63130.0,Forsyth/Clayton,1,2025-10-07,2025-10-07,293,,361.5,361.5,Marketplace Takeout,cold
Olin Business School,olin-business-school,1 Brookings Dr Knight Hall 3rd floor Graduate Programs Office,St. Louis,MO,63130.0,Forsyth/Clayton,1,2025-01-21,2025-01-21,552,,672.0,672.0,ezOrdering Takeout,cold
Parkcrest Plastic Surgery,parkcrest-plastic-surgery,845 North New Ballas Court Suite 300,Creve Coeur,MO,63141.0,West Oak,1,2025-02-28,2025-02-28,514,,261.8,261.8,ezOrdering Takeout,cold
Pear Tree Inn,pear-tree-inn,711 N Broadway Market Ballroom,St. Louis,MO,63102.0,Lindell/SLU,1,2025-05-06,2025-05-06,447,,432.5,432.5,Marketplace Takeout,cold
Perimeter Solutions,perimeter-solutions,8000 Maryland Ave Suite 350,Clayton,MO,63105.0,Forsyth/Clayton,1,2025-04-01,2025-04-01,482,,245.82,245.82,Marketplace Takeout,cold
Plancorp Wealth Management,plancorp-wealth-management,540 Maryville Centre Dr Suite 105,St. Louis,MO,63141.0,Creve Coeur,1,2025-09-04,2025-09-04,326,,825.0,825.0,Marketplace Takeout,cold
"Plancorp, LLC",plancorp-llc,540 Maryville Centre Dr 105,St. Louis,MO,63141.0,Rock Hill/Glendale,1,2025-07-30,2025-07-30,362,,702.7,702.7,Marketplace Takeout,cold
Political Science Department at WashU,political-science-department-at-washu,1 Brookings Dr Seigle Hall 230,St. Louis,MO,63130.0,Forsyth/Clayton,1,2025-11-04,2025-11-04,265,,102.4,102.4,Marketplace Takeout,cold
Potter Global Technologies,potter-global-technologies,13723 Riverport Dr STE 3,Maryland Heights,MO,63043.0,Lindenwood,1,2025-02-17,2025-02-17,525,,116.98,116.98,Marketplace Takeout,cold
Pulmonary Consultants,pulmonary-consultants,6 Jungermann Cir,St. Peters,MO,63376.0,Lindenwood,1,2025-01-15,2025-01-15,558,,389.0,389.0,Marketplace Takeout,cold
Quantum Vision Center-Dr Wigton,quantum-vision-center-dr-wigton,3990 N Illinois St,Swansea,IL,62226.0,Shiloh,1,2025-06-04,2025-06-04,418,,550.5,550.5,Marketplace Takeout,cold
RNAissance Ag,rnaissance-ag,1005 N Warson Rd Ste 375,Creve Coeur,MO,63141.0,West Oak,1,2025-12-18,2025-12-18,221,,210.25,210.25,Marketplace Takeout,cold
Rabo Agrifinance,rabo-agrifinance,14767 N Outer 40 Rd Ste 400,Chesterfield,MO,63017.0,Creve Coeur,1,2025-03-19,2025-03-19,495,,96.45,96.45,ezOrdering Takeout,cold
Regional Eyecare,regional-eyecare,2681 State Hwy K,O'Fallon,MO,63368.0,O'Fallon,1,2025-09-10,2025-09-10,320,,206.7,206.7,Marketplace Takeout,cold
Remiger Design,remiger-design,2921 Olive St,St. Louis,MO,63103.0,Lindell/SLU,1,2025-03-06,2025-03-06,508,,124.39,124.39,Marketplace Takeout,cold
Robert R. Hermann Stadium,robert-r-hermann-stadium,1 S Compton Ave,St. Louis,MO,63103.0,Lindell/SLU,1,2025-08-24,2025-08-24,337,,490.15,490.15,Marketplace Takeout,cold
Rosemann & Associates,rosemann-and-associates,168 N Meramec Ave,St. Louis,MO,63105.0,Forsyth/Clayton,1,2025-11-18,2025-11-18,251,,126.65,126.65,Marketplace Takeout,cold
"Rosenblum Goldenhersh, PC",rosenblum-goldenhersh-pc,7733 Forsyth Blvd Suite 400,Clayton,MO,63105.0,Forsyth/Clayton,1,2025-03-14,2025-03-14,500,,360.0,360.0,Marketplace Takeout,cold
Rural Family Medical Associates,rural-family-medical-associates,739 N Jefferson St Suite 200,Mascoutah,IL,62258.0,Shiloh,1,2025-01-15,2025-01-15,558,,264.4,264.4,Marketplace Takeout,cold
SIHF,sihf,180 S 3rd St 104,Belleville,IL,62220.0,Shiloh,1,2025-04-28,2025-04-28,455,,249.9,249.9,Marketplace Takeout,cold
SIHF Bellivelle Circle II,sihf-bellivelle-circle-ii,311 W Lincoln St 200,Belleville,IL,62220.0,Shiloh,1,2025-07-10,2025-07-10,382,,323.4,323.4,Marketplace Takeout,cold
SIHF Healthcare,sihf-healthcare,311 W Lincoln St 200,Belleville,IL,62220.0,Shiloh,1,2025-03-26,2025-03-26,488,,296.82,296.82,Marketplace Takeout,cold
SLU,slu,3330 Laclede Ave Dead end of Laclede Ave,St. Louis,MO,63103.0,Lindell/SLU,1,2025-06-02,2025-06-02,420,,255.8,255.8,Marketplace Takeout,cold
SLU Baseball Field,slu-baseball-field,1 S Compton Ave,St. Louis,MO,63103.0,Lindell/SLU,1,2025-05-16,2025-05-16,437,,529.1,529.1,Marketplace Takeout,cold
SLU Care Plastic and Reconstructive surgery,slu-care-plastic-and-reconstructive-surgery,1034 S Brentwood Blvd Suite 550,Richmond Heights,MO,63117.0,Rock Hill/Glendale,1,2025-02-05,2025-02-05,537,,82.75,82.75,Marketplace Takeout,cold
SLUCare Physician Group,slucare-physician-group,1034 S Brentwood Blvd Suite 1120,Richmond Heights,MO,63117.0,Rock Hill/Glendale,1,2025-07-15,2025-07-15,377,,563.45,563.45,Marketplace Takeout,cold
SLUCare Surgery - Laura,slucare-surgery---laura,1008 S. Spring Ave Suite 1501,St. Louis,MO,63110.0,Lindell/SLU,1,2026-01-17,2026-01-17,191,,569.5,569.5,Marketplace Takeout,cold
SSM Health Saint Louis University School of Medicine,ssm-health-saint-louis-university-school-of-medicine,1008 S. Spring Ave Suite 1501,St. Louis,MO,63110.0,Lindell/SLU,1,2026-01-27,2026-01-27,181,,343.4,343.4,Marketplace Takeout,cold
SSM St. Joseph Hospital,ssm-st-joseph-hospital,300 1st Capitol Dr Interventional Radiology,Saint Charles,MO,63301.0,Lindenwood,1,2025-11-03,2025-11-03,266,,253.5,253.5,Marketplace Takeout,cold
STL Fertility,stl-fertility,555 N New Ballas Rd 150,St. Louis,MO,63141.0,West Oak,1,2025-12-15,2025-12-15,224,,653.7,653.7,Marketplace Takeout,cold
STL Zoo Living World,stl-zoo-living-world,1 Government Dr,St. Louis,MO,63110.0,South City,1,2025-08-22,2025-08-22,339,,170.2,170.2,Marketplace Takeout,cold
SWT Design,swt-design,7722 Big Bend Blvd,St. Louis,MO,63119.0,Rock Hill/Glendale,1,2025-01-13,2025-01-13,560,,169.25,169.25,ezOrdering Takeout,cold
Saint Louis University School of Medicine,saint-louis-university-school-of-medicine,3545 Vista Ave 1st floor,St. Louis,MO,63104.0,Lindell/SLU,1,2025-08-21,2025-08-21,340,,421.34,421.34,Marketplace Takeout,cold
"Saint Louis University School of Medicine - Center for Educator Development, Advancement, & Research",saint-louis-university-school-of-medicine---center-for-educator-development-advancement-and-research,3545 Vista Ave,St. Louis,MO,63104.0,Lindell/SLU,1,2026-01-22,2026-01-22,186,,112.8,112.8,Marketplace Takeout,cold
Saint Peters Pharmacy,saint-peters-pharmacy,4885 Mexico Rd,St. Peters,MO,63376.0,Lindenwood,1,2025-07-29,2025-07-29,363,,115.45,115.45,Marketplace Takeout,cold
Schweiger Derm,schweiger-derm,4575 Benes St,Glen Carbon,IL,62034.0,Edwardsville,1,2025-04-22,2025-04-22,461,,368.25,368.25,Marketplace Takeout,cold
Sensient Colors LLC,sensient-colors-llc,2515 North Jefferson Ave,St. Louis,MO,63106.0,Lindell/SLU,1,2025-03-28,2025-03-28,486,,530.0,530.0,Marketplace Takeout,cold
Serenity health,serenity-health,5000 Cedar Plaza Pkwy 350,St. Louis,MO,63128.0,Tesson,1,2025-08-18,2025-08-18,343,,236.33,236.33,Marketplace Takeout,cold
Sevens Building/Maryville Consulting Group,sevens-building-maryville-consulting-group,7777 Bonhomme Ave Suite 2300,Clayton,MO,63105.0,Rock Hill/Glendale,1,2025-05-09,2025-05-09,444,,648.9,648.9,Marketplace Takeout,cold
Sihf cardiology,sihf-cardiology,180 S 3rd St 3,Belleville,IL,62220.0,Shiloh,1,2025-05-15,2025-05-15,438,,321.9,321.9,Marketplace Takeout,cold
Southampton Healthcare,southampton-healthcare,2340 Hampton Ave,St. Louis,MO,63128.0,South City,1,2025-08-14,2025-08-14,347,,355.95,355.95,Marketplace Takeout,cold
Southside Family Practice,southside-family-practice,1031 Bellevue Ave Suite 300,Richmond Heights,MO,63117.0,Forsyth/Clayton,1,2025-02-21,2025-02-21,521,,495.3,495.3,Marketplace Takeout,cold
Spark Coworking - St. Louis,spark-coworking---st-louis,6 Cardinal Wy Suite 905,St. Louis,MO,63102.0,Lindell/SLU,1,2025-10-23,2025-10-23,277,,695.85,695.85,Marketplace Takeout,cold
Specialists in Dermatology,specialists-in-dermatology,222 S Woods Mill Rd #480n,Chesterfield,MO,63017.0,Creve Coeur,1,2025-06-23,2025-06-23,399,,291.5,291.5,Marketplace Takeout,cold
Specialists in Gastroenterology,specialists-in-gastroenterology,11525 Olde Cabin Rd,Creve Coeur,MO,63141.0,West Oak,1,2025-08-19,2025-08-19,342,,533.1,533.1,Marketplace Takeout,cold
Spectrum Brands,spectrum-brands,1 Rider Trl Plz Dr,Earth City,MO,63045.0,Lindenwood,1,2025-08-18,2025-08-18,343,,117.59,117.59,Marketplace Takeout,cold
Spectrum/Charter Communications,spectrum-charter-communications,13736 Riverport Dr 5th floor ; Training Room #1,Maryland Heights,MO,63043.0,Lindenwood,1,2025-03-18,2025-03-18,496,,1421.0,1421.0,Marketplace Takeout,cold
Spencer Fane LLP,spencer-fane-llp,1 North Brentwood Blvd Suite 1200,Clayton,MO,63105.0,Rock Hill/Glendale,1,2025-09-24,2025-09-24,306,,300.0,300.0,Marketplace Takeout,cold
Springhill Suites Earth City,springhill-suites-earth-city,3099 Rider Trail S,Bridgeton,MO,63044.0,West Oak,1,2025-12-08,2025-12-08,231,,75.8,75.8,Marketplace Takeout,cold
Ssm st marys,ssm-st-marys,6420 Clayton Rd Respiratory therapy,Richmond Heights,MO,63117.0,Forsyth/Clayton,1,2025-10-22,2025-10-22,278,,129.8,129.8,Marketplace Takeout,cold
St Clare Hospital,st-clare-hospital,1015 Bowles Ave front entrance,Fenton,MO,63026.0,Sunset Hills,1,2025-04-18,2025-04-18,465,,389.7,389.7,Marketplace Takeout,cold
St Lukes Urology,st-lukes-urology,111 St Luke's Center Dr Suite 24B,Chesterfield,MO,63017.0,Rock Hill/Glendale,1,2025-11-03,2025-11-03,266,,327.83,327.83,Marketplace Takeout,cold
St Lukes urology suite 24B,st-lukes-urology-suite-24b,111 St Luke's Center Dr 24B,Chesterfield,MO,63017.0,Creve Coeur,1,2025-07-23,2025-07-23,369,,184.5,184.5,Marketplace Takeout,cold
St. Louis Ballet,st-louis-ballet,210 E Monroe Ave,Kirkwood,MO,63122.0,Sunset Hills,1,2025-02-14,2025-02-14,528,,1045.0,1045.0,ezOrdering Takeout,cold
St. Louis Healthcare (Dr. Muckermann Office),st-louis-healthcare-(dr-muckermann-office),16216 Baxter Rd Suite 100,Chesterfield,MO,63017.0,Creve Coeur,1,2025-03-12,2025-03-12,502,,362.5,362.5,Marketplace Takeout,cold
St. Louis Heart and Vascular,st-louis-heart-and-vascular,3550 McKelvey Rd,Bridgeton,MO,63044.0,Lindenwood,1,2025-04-30,2025-04-30,453,,710.5,710.5,Marketplace Takeout,cold
St. Louis Lambert international Airport,st-louis-lambert-international-airport,10701 Lambert International Blvd T1 Upper drive (Departures) Door6,St. Louis,MO,63145.0,Lindenwood,1,2025-02-12,2025-02-12,530,,793.5,793.5,Marketplace Takeout,cold
St. Luke's Neurology,st-lukes-neurology,"111 St Luke's Center Dr Suite 20 B (Desloge Outpatient Center, Building B)",Chesterfield,MO,63017.0,Manchester,1,2025-02-10,2025-02-10,532,,387.37,387.37,Marketplace Takeout,cold
St. Luke’s Internal Medicine 504A,st-luke’s-internal-medicine-504a,121 St Luke's Center Dr Building A 504,Chesterfield,MO,63017.0,Creve Coeur,1,2025-12-10,2025-12-10,229,,248.0,248.0,Marketplace Takeout,cold
Steffenauer Residence,steffenauer-residence,511 Corley Dr,Chesterfield,MO,63017.0,Manchester,1,2025-04-29,2025-04-29,454,,353.98,353.98,Marketplace Takeout,cold
Stifel,stifel,501 N Broadway,St. Louis,MO,63102.0,Lindell/SLU,1,2025-09-25,2025-09-25,305,,630.1,630.1,Marketplace Takeout,cold
Strive Pharmacy,strive-pharmacy,2058 Fenton Logistics Pk Blvd,Fenton,MO,63026.0,Sunset Hills,1,2025-12-19,2025-12-19,220,,1871.5,1871.5,Marketplace Takeout,cold
Swansea Internal Medicine,swansea-internal-medicine,4 Park Place,Swansea,IL,62226.0,Shiloh,1,2025-10-16,2025-10-16,284,,344.85,344.85,Marketplace Takeout,cold
Synergi Medspa,synergi-medspa,17000 Baxter Rd,Chesterfield,MO,63005.0,Chesterfield Valley,1,2026-01-21,2026-01-21,187,,286.48,286.48,Marketplace Takeout,cold
T-REX HOTEL,t-rex-hotel,911 Washington Ave #500,St. Louis,MO,63101.0,South City,1,2026-01-27,2026-01-27,181,,144.0,144.0,Marketplace Takeout,cold
TREX,trex,911 Washington Ave Suite 500,St. Louis,MO,63101.0,Lindell/SLU,1,2025-04-08,2025-04-08,475,,140.2,140.2,Marketplace Takeout,cold
TRUE Fitness,true-fitness,25 Lakeside Dr Lobby,Lake Saint Louis,MO,63367.0,O'Fallon,1,2025-12-18,2025-12-18,221,,164.95,164.95,Marketplace Takeout,cold
TSCP,tscp,7676 Forsyth Blvd 2700,Clayton,MO,63105.0,Forsyth/Clayton,1,2025-02-21,2025-02-21,521,,159.0,159.0,Marketplace Takeout,cold
Tanoli,tanoli,224 S Woods Mill Rd 500,Chesterfield,MO,63017.0,Creve Coeur,1,2025-10-24,2025-10-24,276,,336.45,336.45,Marketplace Takeout,cold
Target,target,40 THF Blvd,Chesterfield,MO,63005.0,Creve Coeur,1,2025-01-15,2025-01-15,558,,173.9,173.9,ezOrdering Takeout,cold
Target O'Fallon,target-ofallon,2300 State Hwy K,O'Fallon,MO,63368.0,O'Fallon,1,2025-06-12,2025-06-12,410,,1035.5,1035.5,Marketplace Delivery,cold
Tarlton Corportation,tarlton-corportation,5500 W Park Ave,St. Louis,MO,63110.0,South City,1,2025-09-17,2025-09-17,313,,1049.75,1049.75,Marketplace Takeout,cold
Teach For America St. Louis,teach-for-america-st-louis,5501 Delmar Blvd Suite A280,St. Louis,MO,63112.0,Lindell/SLU,1,2025-02-11,2025-02-11,531,,450.5,450.5,Marketplace Takeout,cold
TechArtista Foundation,techartista-foundation,4220 Duncan Ave 2nd Floor,St. Louis,MO,63110.0,Lindell/SLU,1,2025-05-14,2025-05-14,439,,206.7,206.7,Marketplace Takeout,cold
The Bud Dome,the-bud-dome,9711 Green Park Industrial Dr,St. Louis,MO,63123.0,Tesson,1,2025-02-28,2025-02-28,514,,178.08,178.08,Marketplace Takeout,cold
"The Clayton Engineering Company, Inc.",the-clayton-engineering-company-inc,2268 Welsch Industrial Court,St. Louis,MO,63146.0,Lindenwood,1,2025-04-30,2025-04-30,453,,92.04,92.04,Marketplace Takeout,cold
The Crossing Church,the-crossing-church,114 N Eatherton Rd,Chesterfield,MO,63005.0,Chesterfield Valley,1,2025-08-03,2025-08-03,358,,85.5,85.5,Marketplace Takeout,cold
The Crossing Church at Fenton,the-crossing-church-at-fenton,1800 Bowles Ave,Fenton,MO,63026.0,Sunset Hills,1,2025-03-15,2025-03-15,499,,147.0,147.0,Marketplace Takeout,cold
The Dover Companies,the-dover-companies,300 Hunter Ave Suite 200,St. Louis,MO,63124.0,Forsyth/Clayton,1,2026-01-20,2026-01-20,188,,206.35,206.35,Marketplace Takeout,cold
The Rehabilitation Institute of Southern Illinois,the-rehabilitation-institute-of-southern-illinois,2351 Frank Scott Pkwy E,O'Fallon,IL,62269.0,Shiloh,1,2025-11-07,2025-11-07,262,,243.7,243.7,Marketplace Takeout,cold
The Retina Institute,the-retina-institute,226 S Woods Mill Rd 50W,Chesterfield,MO,63017.0,Manchester,1,2025-06-04,2025-06-04,418,,246.0,246.0,Marketplace Takeout,cold
The Sheldon,the-sheldon,3648 Washington Ave,St. Louis,MO,63108.0,Lindell/SLU,1,2025-10-13,2025-10-13,287,,310.0,310.0,Marketplace Takeout,cold
The Sheldon (STL),the-sheldon-(stl),3648 Washington Blvd,St. Louis,MO,63108.0,Lindell/SLU,1,2025-02-10,2025-02-10,532,,307.5,307.5,ezOrdering Takeout,cold
The Spa at Mid America Plastic Surgery,the-spa-at-mid-america-plastic-surgery,4955 IL-159,Glen Carbon,IL,62034.0,Edwardsville,1,2025-05-29,2025-05-29,424,,279.9,279.9,Marketplace Delivery,cold
The Ultimate Bride,the-ultimate-bride,1115 S Big Bend Blvd,St. Louis,MO,63117.0,Forsyth/Clayton,1,2025-01-25,2025-01-25,548,,161.7,161.7,Marketplace Takeout,cold
