Location,Slug,Street Address,City,State,Zip Code,Assigned Store,Order Count,First Order Date,Last Order Date,Days Since Last Order,Median Reorder Gap (days),Avg Food Total,Total Food Spend,Primary Source,Segment
"Concordia Seminary, St. Louis",concordia-seminary-st-louis,801 Seminary Pl Wartburg Hall,St. Louis,MO,63105.0,South City,1,2026-06-25,2026-06-25,32,,375.0,375.0,Marketplace Takeout,warm
Diploma in Climate Medicine - Univ of Colorado,diploma-in-climate-medicine---univ-of-colorado,5595 Grand Dr Learning Lab,St. Louis,MO,63112.0,Lindell/SLU,1,2026-05-10,2026-05-10,78,,237.4,237.4,Marketplace Takeout,warm
Dr Baram,dr-baram,10420 Old Olive St Rd 205,Creve Coeur,MO,63141.0,West Oak,1,2026-05-04,2026-05-04,84,,169.58,169.58,Marketplace Takeout,warm
Dr Keller suite 222,dr-keller-suite-222,300 Winding Woods Dr,O'Fallon,MO,63366.0,O'Fallon,1,2026-06-08,2026-06-08,49,,239.29,239.29,Marketplace Takeout,warm
Dr Pais Office,dr-pais-office,2810 Frank Scott Pkwy W,Belleville,IL,62223.0,Shiloh,1,2026-05-07,2026-05-07,81,,275.33,275.33,Marketplace Takeout,warm
Dr wang,dr-wang,12200 Weber Hill Rd 200,St. Louis,MO,63127.0,Tesson,1,2026-06-24,2026-06-24,33,,457.05,457.05,Marketplace Takeout,warm
Drury Hotel Brentwood,drury-hotel-brentwood,8700 Eager Rd,Brentwood,MO,63144.0,Lindell/SLU,1,2026-06-01,2026-06-01,56,,217.5,217.5,Marketplace Takeout,warm
Drury Inn Arnold,drury-inn-arnold,3800 MO-141,Arnold,MO,63010.0,Tesson,1,2026-05-28,2026-05-28,60,,357.75,357.75,Marketplace Takeout,warm
Edward Jones,edward-jones,12555 Manchester Rd,Des Peres,MO,63131.0,Manchester,1,2026-05-14,2026-05-14,74,,106.94,106.94,Marketplace Takeout,warm
Embody Her Health,embody-her-health,391 Frank Scott Pkwy E B,Fairview Heights,IL,62208.0,Shiloh,1,2026-05-19,2026-05-19,69,,147.0,147.0,Marketplace Takeout,warm
Gateway Region YMCA - Association Resource Office,gateway-region-ymca---association-resource-office,2815 Scott Ave Suite D,St. Louis,MO,63103.0,Lindell/SLU,1,2026-04-29,2026-04-29,89,,144.81,144.81,Marketplace Takeout,warm
Grant Medical and Diabetes Associates,grant-medical-and-diabetes-associates,4320 Forest Park Ave Suite 1100,St. Louis,MO,63108.0,Lindell/SLU,1,2026-06-03,2026-06-03,54,,622.2,622.2,Marketplace Takeout,warm
HSHS FAMILY MEDICINE,hshs-family-medicine,1116 Hartman Ln,Swansea,IL,62221.0,Shiloh,1,2026-06-15,2026-06-15,42,,301.9,301.9,Marketplace Takeout,warm
HSHS Family & Sports Medicine,hshs-family-and-sports-medicine,670 Pierce Blvd 200,O'Fallon,IL,62269.0,Shiloh,1,2026-05-28,2026-05-28,60,,223.45,223.45,Marketplace Takeout,warm
HSHS Maryville Primary Care,hshs-maryville-primary-care,2401 S Center St,Maryville,IL,62062.0,Edwardsville,1,2026-06-09,2026-06-09,48,,304.0,304.0,Marketplace Takeout,warm
HUB,hub,645 Maryville Centre Dr 150,St. Louis,MO,63141.0,Creve Coeur,1,2026-06-16,2026-06-16,41,,147.74,147.74,Marketplace Takeout,warm
His & Hers,his-and-hers,2070 Little Hills Expy,Saint Charles,MO,63301.0,Lindenwood,1,2026-06-05,2026-06-05,52,,233.54,233.54,Marketplace Takeout,warm
Hunter Engineering - c/o Joy S,hunter-engineering---c-o-joy-s,11250 Hunter Dr Building A,Bridgeton,MO,63044.0,West Oak,1,2026-05-05,2026-05-05,83,,402.4,402.4,Marketplace Takeout,warm
Kirkwood High School,kirkwood-high-school,801 W Essex Ave CRU Dance,Kirkwood,MO,63122.0,Rock Hill/Glendale,1,2026-05-08,2026-05-08,80,,125.75,125.75,Marketplace Takeout,warm
Larson Financial Group,larson-financial-group,100 N Broadway 17,St. Louis,MO,63102.0,Lindell/SLU,1,2026-06-25,2026-06-25,32,,196.0,196.0,Marketplace Takeout,warm
McCarthy @ Courtyard Hotel,mccarthy-@-courtyard-hotel,12815 Daylight Dr,St. Louis,MO,63131.0,Manchester,1,2026-06-18,2026-06-18,39,,330.5,330.5,Marketplace Takeout,warm
