apollo_account_id,location,slug,zip,store,segment
6a6a4133c7b09b0014ad3c3d,PPHS SCHWEITZER CENTER AT ENGLEWOOD,pphs-schweitzer-center-at-englewood,46201,Pulliam,cold
6a6a4134d7112300108493d7,Franciscan Alliance,franciscan-alliance,46237,Greenwood,cold
6a6a4135f0044c001443b5b4,Iowa Cubs,iowa-cubs,40202,Mercantile,cold
6a6a4137f6188c00209697f5,LC Rheumatology and Infusion,lc-rheumatology-and-infusion,47150,Jeffersonville,cold
6a6a4138fd1c640010c9e0fd,Nortons Neuroscience Institute,nortons-neuroscience-institute,40207,Dupont,cold
6a6a413967e9a2000c4b86f9,Kueber Center,kueber-center,40209,Mercantile,cold
6a6a413a8faadc0010016ae9,Baptist Cancer Center,baptist-cancer-center,47150,New Albany,cold
6a6a413bf96e5900185c2efc,Indianapolis Motor Speedway,indianapolis-motor-speedway,46222,Avon,cold
6a6a413ccfd0170020ed91be,Local 392 Joint Apprenticeship Training Committee,local-392-joint-apprenticeship-training-committee,45246,Oakley,cold
6a6a413dac483800149f6f2b,University of Louisville School of Dentistry,university-of-louisville-school-of-dentistry,40202,Mercantile,cold
6a6a413d00ae07001749d86a,Crossroads Oakley,crossroads-oakley,45209,Oakley,cold
6a6a413f4e3437001843325e,Indianapolis Colts,indianapolis-colts,46254,Avon,cold
6a6a413fb834fb0014a238de,Adelante Schools,adelante-schools,46203,Pulliam,cold
6a6a4140ac483800149f6f39,Baotist Cancer Center,baotist-cancer-center,40207,Dupont,cold
6a6a41419854980018ef658a,Beech Grove High School,beech-grove-high-school,46107,Greenwood,cold
6a6a4142c98b510020606a79,Gainbridge Fieldhouse (EPSN TV Compound),gainbridge-fieldhouse-(epsn-tv-compound),46204,Pulliam,cold
6a6a4143ae7a030014ed3f14,LINAK U.S.,linak-us,40223,Landis,cold
6a6a41443ddb01000c38cb34,Parker Hannifin,parker-hannifin,47130,Jeffersonville,cold
6a6a4145856b94000c92edfb,Graves Gilbert,graves-gilbert,42103,Bowling Green,cold
6a6a4146e64d5d001a6d75e9,Lynn Family Stadium,lynn-family-stadium,40206,Mercantile,cold
6a6a4146f334dc0020f845b4,WKU Women's Basketball,wku-womens-basketball,42101,Bowling Green,cold
6a6a41471dcc0300183ad13b,UC College of Engineering,uc-college-of-engineering,45236,Oakley,cold
6a6a4148e25d1b0018a34826,The Christ Hospital Joint and Spine Center,the-christ-hospital-joint-and-spine-center,45219,Oakley,cold
6a6a41494e34370010fae545,Indiana Mad Ants Basketball,indiana-mad-ants-basketball,46204,Pulliam,cold
6a6a414a4874a900100a9dd9,Trihealth Ob/Gyn,trihealth-ob-gyn,45236,Oakley,cold
6a6a414be24d570010f7250e,WARE,ware,40218,Mercantile,cold
6a6a414c85097a00202bbc64,OneCause,onecause,46032,Carmel,cold
6a6a414d26823600102efc8e,Hilton Garden Inn Louisville Downtown,hilton-garden-inn-louisville-downtown,40202,Mercantile,cold
6a6a414f280f2b001459138c,Mayfield Surgical Innovation Center,mayfield-surgical-innovation-center,45209,Oakley,cold
6a6a4150b0834c001cff5bc5,Irsay Family YMCA,irsay-family-ymca,46225,Pulliam,cold
6a6a4150b9e6220018d77935,Louisville Water Company,louisville-water-company,40202,New Albany,cold
6a6a4151c7b09b002005b55c,THE MOTZ GROUP,the-motz-group,45244,Oakley,cold
6a6a41528faadc00184982c6,Meeting Spot on Fifth,meeting-spot-on-fifth,45202,Queen City Wild Eggs,cold
6a6a4153a6c806001c79eb89,Candlewood Suites,candlewood-suites,40207,Mercantile,cold
6a6a4154b4c3e200109eab08,HDR INC,hdr-inc,45242,Oakley,cold
6a6a4155280f2b00145913e0,IU Methodist Hospital,iu-methodist-hospital,46202,Pulliam,cold
6a6a41576af2450020fea566,Tri Health,tri-health,45242,Oakley,cold
6a6a4158cfd017000c931dae,Healthtrackrx,healthtrackrx,47129,Jeffersonville,cold
6a6a41591dc37f000c548b7c,Bowling Green Hot Rods,bowling-green-hot-rods,42101,Bowling Green,cold
6a6a415a0b982b00181ef4b4,Norton Pulmonary Associates,norton-pulmonary-associates,40202,Mercantile,cold
